	iid	bam	sex
151	PTN034	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN034/merged_bams/additional/PTN034_ss_libmerged_add.bam	m
152	KKH022	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH022/trimmed_bam/KKH022_ss.A0101_udghalf.trimmed.bam	m
153	PTN260	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN260/trimmed_bam/PTN260_ss.A0101_udghalf.trimmed.bam	m
154	KKH003	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH003/trimmed_bam/KKH003_ss.A0101_udghalf.trimmed.bam	m
155	PTN170	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN170/merged_bams/initial/PTN170_ss_udghalf_libmerged_rmdup.bam	m
156	PTN420	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN420/trimmed_bam/PTN420_ss.B0101_udghalf.trimmed.bam	m
157	PTN459	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN459/trimmed_bam/PTN459_ss.B0101_udghalf.trimmed.bam	m
158	PTN124	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN124/trimmed_bam/PTN124_ss.B0101_udghalf.trimmed.bam	m
159	PTN203	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN203/merged_bams/initial/PTN203_ss_udghalf_libmerged_rmdup.bam	m
160	PTN285	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN285/trimmed_bam/PTN285_ss.B0101_udghalf.trimmed.bam	m
161	PTN356	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN356/trimmed_bam/PTN356_ss.B0101_udghalf.trimmed.bam	m
162	PTN096	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN096/trimmed_bam/PTN096_ss.B0101_udghalf.trimmed.bam	m
163	PTN406	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN406/trimmed_bam/PTN406_ss.B0101_udghalf.trimmed.bam	m
