iid	bam	sex
PTN211	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN211/merged_bams/initial/PTN211_ss_udghalf_libmerged_rmdup.bam	m
PTN289	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN289/trimmed_bam/PTN289_ss.A0101_udghalf.trimmed.bam	m
PTN374	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN374/trimmed_bam/PTN374_ss.A0101_udghalf.trimmed.bam	f
PTN484	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN484/trimmed_bam/PTN484_ss.A0101_udghalf.trimmed.bam	f
PTN501	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN501/trimmed_bam/PTN501_ss.A0101_udghalf.trimmed.bam	f
PTN251	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN251/merged_bams/initial/PTN251_ss_udghalf_libmerged_rmdup.bam	m
PTN257	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN257/trimmed_bam/PTN257_ss.A0101_udghalf.trimmed.bam	m
PTN106	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN106/trimmed_bam/PTN106_ss.B0101_udghalf.trimmed.bam	f
PTN191	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN191/merged_bams/initial/PTN191_ss_udghalf_libmerged_rmdup.bam	f
PTN336	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN336/trimmed_bam/PTN336_ss.A0101_udghalf.trimmed.bam	m
PTN326	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN326/trimmed_bam/PTN326_ss.A0101_udghalf.trimmed.bam	m
PTN380	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN380/trimmed_bam/PTN380_ss.A0101_udghalf.trimmed.bam	f
PTN447	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN447/trimmed_bam/PTN447_ss.A0101_udghalf.trimmed.bam	m
PTN297	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN297/trimmed_bam/PTN297_ss.B0101_udghalf.trimmed.bam	m
PTN164	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN164/trimmed_bam/PTN164_ss.A0101_udghalf.trimmed.bam	f
PTN395	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN395/trimmed_bam/PTN395_ss.B0101_udghalf.trimmed.bam	f
PTN432	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN432/trimmed_bam/PTN432_ss.A0101_udghalf.trimmed.bam	m
PTN268	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN268/trimmed_bam/PTN268_ss.B0101_udghalf.trimmed.bam	m
PTN394	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN394/trimmed_bam/PTN394_ss.A0101_udghalf.trimmed.bam	f
PTN346	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN346/trimmed_bam/PTN346_ss.B0101_udghalf.trimmed.bam	m
KKH006	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH006/trimmed_bam/KKH006_ss.A0101_udghalf.trimmed.bam	f
PTN451	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN451/trimmed_bam/PTN451_ss.B0101_udghalf.trimmed.bam	m
PTN077	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN077/trimmed_bam/PTN077_ss.B0101_udghalf.trimmed.bam	f
PTN116	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN116/trimmed_bam/PTN116_ss.A0101_udghalf.trimmed.bam	m
NKR001	/mnt/archgen/Autorun_eager/eager_outputs/SG/NKR/NKR001/trimmed_bam/NKR001_ss.A0101_udghalf.trimmed.bam	f
PTN347	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN347/trimmed_bam/PTN347_ss.B0101_udghalf.trimmed.bam	m
PTN262	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN262/trimmed_bam/PTN262_ss.B0101_udghalf.trimmed.bam	m
PTN054	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN054/merged_bams/additional/PTN054_ss_libmerged_add.bam	f
PTN369	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN369/trimmed_bam/PTN369_ss.A0101_udghalf.trimmed.bam	m
PTN275	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN275/trimmed_bam/PTN275_ss.A0101_udghalf.trimmed.bam	m
PTN427	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN427/trimmed_bam/PTN427_ss.B0101_udghalf.trimmed.bam	f
PTN173	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN173/merged_bams/initial/PTN173_ss_udghalf_libmerged_rmdup.bam	m
PTN273	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN273/trimmed_bam/PTN273_ss.A0101_udghalf.trimmed.bam	m
PTN206	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN206/merged_bams/initial/PTN206_ss_udghalf_libmerged_rmdup.bam	m
PTN293	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN293/trimmed_bam/PTN293_ss.A0101_udghalf.trimmed.bam	f
PTN390	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN390/trimmed_bam/PTN390_ss.A0101_udghalf.trimmed.bam	m
KKH008	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH008/trimmed_bam/KKH008_ss.A0101_udghalf.trimmed.bam	f
PTN338	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN338/trimmed_bam/PTN338_ss.B0101_udghalf.trimmed.bam	m
PTN175	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN175/merged_bams/initial/PTN175_ss_udghalf_libmerged_rmdup.bam	f
PTN204	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN204/merged_bams/initial/PTN204_ss_udghalf_libmerged_rmdup.bam	f
PTN136	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN136/trimmed_bam/PTN136_ss.A0101_udghalf.trimmed.bam	m
PTN174	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN174/merged_bams/initial/PTN174_ss_udghalf_libmerged_rmdup.bam	f
PTN375	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN375/trimmed_bam/PTN375_ss.A0101_udghalf.trimmed.bam	m
PTN327	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN327/trimmed_bam/PTN327_ss.A0101_udghalf.trimmed.bam	m
PTN357	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN357/trimmed_bam/PTN357_ss.B0101_udghalf.trimmed.bam	f
PTN320	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN320/trimmed_bam/PTN320_ss.B0101_udghalf.trimmed.bam	m
PTN280	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN280/trimmed_bam/PTN280_ss.A0101_udghalf.trimmed.bam	f
